"project","run","auc"
"carmen-darien_Pacific","run_43",0.953125
"carmen-darien_Pacific","run_44",0.819135802469136
"carmen-darien_Pacific","run_45",0.842078189300412
"carmen-darien_Pacific","run_46",0.893939393939394
"carmen-darien_Pacific","run_47",0.907407407407407
"carmen-darien_Pacific","run_48",0.90625
"carmen-darien_Pacific","run_49",0.92027027027027
"carmen-darien_Pacific","run_50",0.865384615384615
"choco-darien_Pacific","run_1",1
"choco-darien_Pacific","run_2",0.666666666666667
"choco-darien_Pacific","run_3",1
"choco-darien_Pacific","run_4",0.666666666666667
"choco-darien_Pacific","run_5",1
"choco-darien_Pacific","run_6",0.857142857142857
"choco-darien_Pacific","run_7",0.75
"choco-darien_Pacific","run_8",1
"choco-darien_Pacific","run_9",0.833333333333333
"choco-darien_Pacific","run_10",1
"choco-darien_Pacific","run_11",0.9
"choco-darien_Pacific","run_12",1
"choco-darien_Pacific","run_13",1
"choco-darien_Pacific","run_14",0.75
"choco-darien_Pacific","run_15",1
"choco-darien_Pacific","run_16",0.875
"choco-darien_Pacific","run_17",1
"choco-darien_Pacific","run_18",1
"choco-darien_Pacific","run_19",0.833333333333333
"choco-darien_Pacific","run_20",0.5
"choco-darien_Pacific","run_21",1
"choco-darien_Pacific","run_22",0.875
"choco-darien_Pacific","run_23",1
"choco-darien_Pacific","run_24",1
"choco-darien_Pacific","run_25",1
"choco-darien_Pacific","run_26",0.666666666666667
"choco-darien_Pacific","run_27",1
"choco-darien_Pacific","run_28",1
"choco-darien_Pacific","run_29",0.875
"choco-darien_Pacific","run_30",1
"choco-darien_Pacific","run_31",0.875
"choco-darien_Pacific","run_32",0.9
"choco-darien_Pacific","run_33",1
"choco-darien_Pacific","run_34",0.666666666666667
"choco-darien_Pacific","run_35",1
"choco-darien_Pacific","run_36",1
"choco-darien_Pacific","run_37",0.875
"choco-darien_Pacific","run_38",0.875
"choco-darien_Pacific","run_39",1
"choco-darien_Pacific","run_40",0.8
"choco-darien_Pacific","run_41",1
"choco-darien_Pacific","run_42",1
"choco-darien_Pacific","run_43",0.785714285714286
"choco-darien_Pacific","run_44",1
"choco-darien_Pacific","run_45",0.75
"choco-darien_Pacific","run_46",0.833333333333333
"choco-darien_Pacific","run_47",0.9
"choco-darien_Pacific","run_48",1
"choco-darien_Pacific","run_49",0.666666666666667
"choco-darien_Pacific","run_50",0.916666666666667
"cmari_Amazon","run_1",0.833333333333333
"cmari_Amazon","run_2",0.875
"cmari_Amazon","run_3",0.857142857142857
"cmari_Amazon","run_4",0.8
"cmari_Amazon","run_5",1
"cmari_Amazon","run_6",0.875
"cmari_Amazon","run_7",1
"cmari_Amazon","run_8",1
"cmari_Amazon","run_9",0.964285714285714
"cmari_Amazon","run_10",0.857142857142857
"cmari_Amazon","run_11",0.9625
"cmari_Amazon","run_12",0.916666666666667
"cmari_Amazon","run_13",1
"cmari_Amazon","run_14",0.75
"cmari_Amazon","run_15",0.833333333333333
"cmari_Amazon","run_16",0.833333333333333
"cmari_Amazon","run_17",1
"cmari_Amazon","run_18",1
"cmari_Amazon","run_19",0.916666666666667
"cmari_Amazon","run_20",0.857142857142857
"cmari_Amazon","run_21",1
"cmari_Amazon","run_22",0.7375
"cmari_Amazon","run_23",0.9
"cmari_Amazon","run_24",0.892857142857143
"cmari_Amazon","run_25",0.742857142857143
"cmari_Amazon","run_26",0.892857142857143
"cmari_Amazon","run_27",0.888888888888889
"cmari_Amazon","run_28",0.925
"cmari_Amazon","run_29",1
"cmari_Amazon","run_30",0.732142857142857
"cmari_Amazon","run_31",1
"cmari_Amazon","run_32",1
"cmari_Amazon","run_33",0.871428571428571
"cmari_Amazon","run_34",0.954545454545455
"cmari_Amazon","run_35",1
"cmari_Amazon","run_36",1
"cmari_Amazon","run_37",0.357142857142857
"cmari_Amazon","run_38",0.771428571428571
"cmari_Amazon","run_39",1
"cmari_Amazon","run_40",0.833333333333333
"cmari_Amazon","run_41",0.810606060606061
"cmari_Amazon","run_42",0.571428571428571
"cmari_Amazon","run_43",1
"cmari_Amazon","run_44",1
"cmari_Amazon","run_45",0.555555555555556
"cmari_Amazon","run_46",1
"cmari_Amazon","run_47",1
"cmari_Amazon","run_48",0.714285714285714
"cmari_Amazon","run_49",0.9
"cmari_Amazon","run_50",1
"co2-bio-fasei_Orinoco","run_1",0.727272727272727
"co2-bio-fasei_Orinoco","run_2",0.888888888888889
"co2-bio-fasei_Orinoco","run_3",1
"co2-bio-fasei_Orinoco","run_4",0.909090909090909
"co2-bio-fasei_Orinoco","run_5",0.823529411764706
"co2-bio-fasei_Orinoco","run_6",0.833333333333333
"co2-bio-fasei_Orinoco","run_7",0.909090909090909
"co2-bio-fasei_Orinoco","run_8",1
"co2-bio-fasei_Orinoco","run_9",0.888888888888889
"co2-bio-fasei_Orinoco","run_10",0.892857142857143
"co2-bio-fasei_Orinoco","run_11",0.888888888888889
"co2-bio-fasei_Orinoco","run_12",0.696296296296296
"co2-bio-fasei_Orinoco","run_13",0.875
"co2-bio-fasei_Orinoco","run_14",0.833333333333333
"co2-bio-fasei_Orinoco","run_15",0.833333333333333
"co2-bio-fasei_Orinoco","run_16",0.846153846153846
"co2-bio-fasei_Orinoco","run_17",1
"co2-bio-fasei_Orinoco","run_18",0.888888888888889
"co2-bio-fasei_Orinoco","run_19",0.9
"co2-bio-fasei_Orinoco","run_20",0.840909090909091
"co2-bio-fasei_Orinoco","run_21",1
"co2-bio-fasei_Orinoco","run_22",0.909090909090909
"co2-bio-fasei_Orinoco","run_23",0.75
"co2-bio-fasei_Orinoco","run_24",0.686868686868687
"co2-bio-fasei_Orinoco","run_25",0.745192307692308
"co2-bio-fasei_Orinoco","run_26",0.806818181818182
"co2-bio-fasei_Orinoco","run_27",0.909090909090909
"co2-bio-fasei_Orinoco","run_28",0.75
"co2-bio-fasei_Orinoco","run_29",0.9
"co2-bio-fasei_Orinoco","run_30",0.818181818181818
"co2-bio-fasei_Orinoco","run_31",0.8
"co2-bio-fasei_Orinoco","run_32",0.785714285714286
"co2-bio-fasei_Orinoco","run_33",0.75
"co2-bio-fasei_Orinoco","run_34",0.866666666666667
"co2-bio-fasei_Orinoco","run_35",0.714285714285714
"co2-bio-fasei_Orinoco","run_36",0.958333333333333
"co2-bio-fasei_Orinoco","run_37",1
"co2-bio-fasei_Orinoco","run_38",0.75
"co2-bio-fasei_Orinoco","run_39",0.915584415584416
"co2-bio-fasei_Orinoco","run_40",0.691919191919192
"co2-bio-fasei_Orinoco","run_41",0.733333333333333
"co2-bio-fasei_Orinoco","run_42",0.807692307692308
"co2-bio-fasei_Orinoco","run_43",0.963636363636364
"co2-bio-fasei_Orinoco","run_44",0.857142857142857
"co2-bio-fasei_Orinoco","run_45",0.944444444444444
"co2-bio-fasei_Orinoco","run_46",0.833333333333333
"co2-bio-fasei_Orinoco","run_47",0.753787878787879
"co2-bio-fasei_Orinoco","run_48",0.875
"co2-bio-fasei_Orinoco","run_49",0.798611111111111
"co2-bio-fasei_Orinoco","run_50",0.907142857142857
"co2bio-p2_Orinoco","run_1",0.754557291666667
"co2bio-p2_Orinoco","run_2",0.633333333333333
"co2bio-p2_Orinoco","run_3",0.95
"co2bio-p2_Orinoco","run_4",0.772727272727273
"co2bio-p2_Orinoco","run_5",0.686111111111111
"co2bio-p2_Orinoco","run_6",0.72
"co2bio-p2_Orinoco","run_7",0.769230769230769
"co2bio-p2_Orinoco","run_8",0.64
"co2bio-p2_Orinoco","run_9",0.727272727272727
"co2bio-p2_Orinoco","run_10",0.686813186813187
"co2bio-p2_Orinoco","run_11",0.720164609053498
"co2bio-p2_Orinoco","run_12",0.6
"co2bio-p2_Orinoco","run_13",0.672413793103448
"co2bio-p2_Orinoco","run_14",0.769230769230769
"co2bio-p2_Orinoco","run_15",0.906647116324536
"co2bio-p2_Orinoco","run_16",0.736111111111111
"co2bio-p2_Orinoco","run_17",0.76
"co2bio-p2_Orinoco","run_18",0.80952380952381
"co2bio-p2_Orinoco","run_19",0.827586206896552
"co2bio-p2_Orinoco","run_20",0.744791666666667
"co2bio-p2_Orinoco","run_21",0.694581280788177
"co2bio-p2_Orinoco","run_22",0.788461538461538
"co2bio-p2_Orinoco","run_23",0.76
"co2bio-p2_Orinoco","run_24",0.943722943722944
"co2bio-p2_Orinoco","run_25",0.681818181818182
"co2bio-p2_Orinoco","run_26",0.765277777777778
"co2bio-p2_Orinoco","run_27",0.660714285714286
"co2bio-p2_Orinoco","run_28",0.806451612903226
"co2bio-p2_Orinoco","run_29",0.90625
"co2bio-p2_Orinoco","run_30",0.8
"co2bio-p2_Orinoco","run_31",0.7
"co2bio-p2_Orinoco","run_32",0.751521298174442
"co2bio-p2_Orinoco","run_33",0.678571428571429
"co2bio-p2_Orinoco","run_34",0.683946488294314
"co2bio-p2_Orinoco","run_35",0.639632107023411
"co2bio-p2_Orinoco","run_36",0.857142857142857
"co2bio-p2_Orinoco","run_37",0.586206896551724
"co2bio-p2_Orinoco","run_38",0.760869565217391
"co2bio-p2_Orinoco","run_39",0.833333333333333
"co2bio-p2_Orinoco","run_40",0.717741935483871
"co2bio-p2_Orinoco","run_41",0.75
"co2bio-p2_Orinoco","run_42",0.810344827586207
"co2bio-p2_Orinoco","run_43",0.727272727272727
"co2bio-p2_Orinoco","run_44",0.770833333333333
"co2bio-p2_Orinoco","run_45",0.682795698924731
"co2bio-p2_Orinoco","run_46",0.625
"co2bio-p2_Orinoco","run_47",0.760869565217391
"co2bio-p2_Orinoco","run_48",0.739130434782609
"co2bio-p2_Orinoco","run_49",0.875
"co2bio-p2_Orinoco","run_50",0.777241379310345
"cocomacia_Pacific","run_1",1
"cocomacia_Pacific","run_2",1
"cocomacia_Pacific","run_3",1
"cocomacia_Pacific","run_4",1
"cocomacia_Pacific","run_5",0.833333333333333
"cocomacia_Pacific","run_6",0.5
"cocomacia_Pacific","run_7",1
"cocomacia_Pacific","run_8",1
"cocomacia_Pacific","run_9",1
"cocomacia_Pacific","run_10",0.833333333333333
"cocomacia_Pacific","run_11",1
"cocomacia_Pacific","run_12",1
"cocomacia_Pacific","run_13",0.55
"cocomacia_Pacific","run_14",0.833333333333333
"cocomacia_Pacific","run_15",1
"cocomacia_Pacific","run_16",0.875
"cocomacia_Pacific","run_17",1
"cocomacia_Pacific","run_18",1
"cocomacia_Pacific","run_19",1
"cocomacia_Pacific","run_20",1
"cocomacia_Pacific","run_21",1
"cocomacia_Pacific","run_22",1
"cocomacia_Pacific","run_23",1
"cocomacia_Pacific","run_24",0.75
"cocomacia_Pacific","run_25",1
"cocomacia_Pacific","run_26",0.9
"cocomacia_Pacific","run_27",0.666666666666667
"cocomacia_Pacific","run_28",0.777777777777778
"cocomacia_Pacific","run_29",1
"cocomacia_Pacific","run_30",1
"cocomacia_Pacific","run_31",0.8125
"cocomacia_Pacific","run_32",0.833333333333333
"cocomacia_Pacific","run_33",0.625
"cocomacia_Pacific","run_34",0.5
"cocomacia_Pacific","run_35",1
"cocomacia_Pacific","run_36",1
"cocomacia_Pacific","run_37",1
"cocomacia_Pacific","run_38",1
"cocomacia_Pacific","run_39",0.5
"cocomacia_Pacific","run_40",1
"cocomacia_Pacific","run_41",1
"cocomacia_Pacific","run_42",1
"cocomacia_Pacific","run_43",0.8
"cocomacia_Pacific","run_44",1
"cocomacia_Pacific","run_45",0.625
"cocomacia_Pacific","run_46",0.5
"cocomacia_Pacific","run_47",1
"cocomacia_Pacific","run_48",1
"cocomacia_Pacific","run_49",0.833333333333333
"cocomacia_Pacific","run_50",1
"cocoman-pacifi_Pacific","run_1",0.818181818181818
"cocoman-pacifi_Pacific","run_2",0.665680473372781
"cocoman-pacifi_Pacific","run_3",0.964285714285714
"cocoman-pacifi_Pacific","run_4",0.909090909090909
"cocoman-pacifi_Pacific","run_5",0.8125
"cocoman-pacifi_Pacific","run_6",0.928571428571429
"cocoman-pacifi_Pacific","run_7",0.9
"cocoman-pacifi_Pacific","run_8",1
"cocoman-pacifi_Pacific","run_9",0.777777777777778
"cocoman-pacifi_Pacific","run_10",0.857142857142857
"cocoman-pacifi_Pacific","run_11",0.916666666666667
"cocoman-pacifi_Pacific","run_12",0.958333333333333
"cocoman-pacifi_Pacific","run_13",0.909090909090909
"cocoman-pacifi_Pacific","run_14",0.8
"cocoman-pacifi_Pacific","run_15",0.875
"cocoman-pacifi_Pacific","run_16",0.882352941176471
"cocoman-pacifi_Pacific","run_17",1
"cocoman-pacifi_Pacific","run_18",0.84765625
"cocoman-pacifi_Pacific","run_19",0.888888888888889
"cocoman-pacifi_Pacific","run_20",0.8
"cocoman-pacifi_Pacific","run_21",0.875
"cocoman-pacifi_Pacific","run_22",0.863636363636364
"cocoman-pacifi_Pacific","run_23",0.95
"cocoman-pacifi_Pacific","run_24",0.8
"cocoman-pacifi_Pacific","run_25",1
"cocoman-pacifi_Pacific","run_26",0.882142857142857
"cocoman-pacifi_Pacific","run_27",0.9
"cocoman-pacifi_Pacific","run_28",0.8125
"cocoman-pacifi_Pacific","run_29",0.857142857142857
"cocoman-pacifi_Pacific","run_30",0.9
"cocoman-pacifi_Pacific","run_31",0.826923076923077
"cocoman-pacifi_Pacific","run_32",0.9375
"cocoman-pacifi_Pacific","run_33",1
"cocoman-pacifi_Pacific","run_34",1
"cocoman-pacifi_Pacific","run_35",0.857142857142857
"cocoman-pacifi_Pacific","run_36",0.878472222222222
"cocoman-pacifi_Pacific","run_37",0.886363636363636
"cocoman-pacifi_Pacific","run_38",1
"cocoman-pacifi_Pacific","run_39",1
